"","a1","a2","a3","a4","a5","a6","kmcmd.diag_weight[, 1]"
"1",0.125,"no","no","yes","yes","yes",1
"2",0.15661427525432,"no","no","yes","yes","yes",1
"3",0.222222222222222,"no","no","yes","yes","yes",1
"4",0.3,"no","no","yes","yes","yes",1
"5",0.341666666666667,"no","no","yes","yes","yes",1
"6",0.391666666666667,"no","no","yes","yes","yes",1
"7",0.533333333333333,"no","no","yes","yes","yes",1
"8",0.866666666666667,"yes","yes","no","yes","no",2
"9",0.933333333333334,"yes","yes","no","yes","no",2
"10",1,"yes","yes","no","yes","no",2
"11",0.0750000000000002,"no","no","yes","yes","yes",1
"12",0.183333333333334,"no","no","yes","yes","yes",1
"13",0.200000000000001,"no","no","yes","yes","yes",1
"14",0.253333333333334,"no","no","yes","yes","yes",1
"15",0.34082152114906,"no","no","yes","yes","yes",1
"16",0.466666666666667,"no","no","yes","yes","yes",1
"17",0.850000000000001,"yes","yes","no","yes","no",2
"18",0.816666666666666,"yes","yes","no","yes","no",2
"19",0.919184718928271,"yes","yes","no","yes","no",2
"20",0.95,"yes","yes","no","yes","no",2
"21",0.225,"no","no","yes","no","no",1
"22",0.291666666666667,"no","no","yes","no","no",1
"23",0.2875,"no","no","yes","yes","yes",1
"24",0.279047416939793,"no","no","yes","yes","yes",1
"25",0.319912757159016,"no","no","yes","yes","no",1
"26",0.4,"no","no","yes","yes","no",1
"27",0.761111111111111,"yes","yes","no","yes","no",2
"28",0.831366176215271,"yes","yes","no","yes","no",2
"29",0.882986200668428,"no","no","no","no","no",1
"30",0.975000000000001,"no","no","no","no","no",1
"31",0.258333333333334,"no","no","yes","no","no",1
"32",0.383333333333333,"no","no","yes","no","no",1
"33",0.334118619039253,"no","no","yes","no","no",1
"34",0.30362656101435,"no","no","yes","yes","no",1
"35",0.333333333333334,"no","no","yes","yes","no",1
"36",0.358333333333334,"no","no","yes","yes","no",1
"37",0.376666666666667,"no","yes","no","no","no",1
"38",0.776190476190477,"no","no","no","no","no",1
"39",0.925,"no","no","no","no","no",1
"40",0.858333333333334,"no","no","no","no","no",1
"41",0.583333333333333,"no","no","yes","no","no",1
"42",0.327777777777778,"no","no","yes","no","no",1
"43",0.227777777777778,"no","no","yes","no","no",1
"44",0.261111111111111,"no","no","yes","yes","no",1
"45",0.287500000000001,"no","no","yes","yes","no",1
"46",0.376666666666667,"no","yes","no","no","no",1
"47",0.527585407195433,"no","yes","no","no","no",1
"48",0.616859037249012,"no","no","no","no","no",1
"49",0.8,"no","no","no","no","no",1
"50",0.815124466354536,"no","no","no","no","no",1
"51",0.994444444444444,"no","yes","yes","no","yes",1
"52",0.555555555555556,"no","yes","yes","no","yes",1
"53",0,"no","yes","no","no","no",1
"54",0.0777777777777781,"no","yes","no","no","no",1
"55",0.116666666666667,"no","yes","no","no","no",1
"56",0.172222222222223,"no","yes","no","no","no",1
"57",0.383333333333333,"no","yes","no","no","no",1
"58",0.75,"no","no","no","no","no",1
"59",0.775,"yes","yes","yes","yes","yes",2
"60",0.831275011247962,"yes","yes","yes","yes","yes",2
"61",0.933333333333334,"no","yes","yes","no","yes",1
"62",0.883333333333333,"no","yes","yes","no","yes",1
"63",0.336111111111111,"no","yes","no","no","no",1
"64",0.200000000000001,"no","yes","no","no","no",1
"65",0.183333333333334,"no","yes","no","no","no",1
"66",0.242487356283862,"no","yes","no","no","no",1
"67",0.283333333333334,"no","yes","no","no","no",1
"68",0.333333333333334,"no","yes","no","no","no",1
"69",0.933333333333334,"yes","yes","yes","yes","yes",2
"70",0.858333333333334,"yes","yes","yes","yes","yes",2
"71",0.846978713944879,"no","yes","yes","no","yes",1
"72",0.8,"no","yes","yes","no","yes",1
"73",0.775,"no","yes","yes","no","yes",1
"74",0.422222222222222,"no","yes","yes","no","yes",1
"75",0.233333333333333,"no","yes","no","no","no",1
"76",0.258932518066465,"no","yes","no","no","no",1
"77",0.316666666666666,"no","yes","no","no","no",1
"78",0.327777777777778,"no","yes","no","no","no",1
"79",0.866666666666667,"yes","yes","yes","yes","no",2
"80",0.902380952380953,"yes","yes","yes","yes","yes",2
"81",0.725000000000001,"no","yes","yes","no","yes",1
"82",0.65,"no","yes","yes","no","yes",1
"83",0.483333333333333,"no","yes","yes","no","yes",1
"84",0.369556148354568,"no","yes","yes","no","yes",1
"85",0.322262673601797,"no","yes","no","no","no",1
"86",0.275779176548522,"no","yes","no","no","no",1
"87",0.3,"no","yes","no","no","no",1
"88",0.670833333333334,"yes","yes","yes","yes","no",2
"89",0.856594457620252,"yes","yes","yes","yes","no",2
"90",0.95,"yes","yes","yes","yes","no",2
"91",0.583333333333334,"no","yes","yes","no","yes",1
"92",0.566666666666666,"no","yes","yes","no","yes",1
"93",0.533333333333334,"no","yes","yes","no","yes",1
"94",0.446666666666667,"no","yes","yes","no","yes",1
"95",0.25,"no","yes","no","no","no",1
"96",0.266666666666667,"no","yes","no","no","no",1
"97",0.520833333333334,"no","yes","no","no","no",1
"98",0.758333333333334,"yes","yes","yes","yes","no",2
"99",0.822222222222222,"yes","yes","yes","yes","no",2
"100",0.9,"yes","yes","yes","yes","no",2
