ID	a2	a3	a8	a14	a15	a1	a4	a5	a6	a7	a9	a10	a11	a12	a13
0	30.83	0.0	1.25	202	0	b	u	g	w	v	t	t	1	f	g
1	58.67	4.46	3.04	43	560	a	u	g	q	h	t	t	6	f	g
2	24.5	0.5	1.5	280	824	a	u	g	q	h	t	f	0	f	g
3	27.83	1.54	3.75	100	3	b	u	g	w	v	t	t	5	t	g
4	20.17	5.625	1.71	120	0	b	u	g	w	v	t	f	0	f	s
5	32.08	4.0	2.5	360	0	b	u	g	m	v	t	f	0	t	g
6	33.17	1.04	6.5	164	31285	b	u	g	r	h	t	f	0	t	g
7	22.92	11.585	0.04	80	1349	a	u	g	cc	v	t	f	0	f	g
8	54.42	0.5	3.96	180	314	b	y	p	k	h	t	f	0	f	g
9	42.5	4.915	3.165	52	1442	b	y	p	w	v	t	f	0	t	g
10	22.08	0.83	2.165	128	0	b	u	g	c	h	f	f	0	t	g
11	29.92	1.835	4.335	260	200	b	u	g	c	h	t	f	0	f	g
12	38.25	6.0	1.0	0	0	a	u	g	k	v	t	f	0	t	g
13	48.08	6.04	0.04	0	2690	b	u	g	k	v	f	f	0	f	g
14	45.83	10.5	5.0	0	0	a	u	g	q	v	t	t	7	t	g
15	36.67	4.415	0.25	320	0	b	y	p	k	v	t	t	10	t	g
16	28.25	0.875	0.96	396	0	b	u	g	m	v	t	t	3	t	g
17	23.25	5.875	3.17	120	245	a	u	g	q	v	t	t	10	f	g
18	21.83	0.25	0.665	0	0	b	u	g	d	h	t	f	0	t	g
19	19.17	8.585	0.75	96	0	a	u	g	cc	h	t	t	7	f	g
20	25.0	11.25	2.5	200	1208	b	u	g	c	v	t	t	17	f	g
21	23.25	1.0	0.835	300	0	b	u	g	c	v	t	f	0	f	s
22	47.75	8.0	7.875	0	1260	a	u	g	c	v	t	t	6	t	g
23	27.42	14.5	3.085	120	11	a	u	g	x	h	t	t	1	f	g
24	41.17	6.5	0.5	145	0	a	u	g	q	v	t	t	3	t	g
25	15.83	0.585	1.5	100	0	a	u	g	c	h	t	t	2	f	g
26	47.0	13.0	5.165	0	0	a	u	g	i	bb	t	t	9	t	g
27	56.58	18.5	15.0	0	0	b	u	g	d	bb	t	t	17	t	g
28	57.42	8.5	7.0	0	0	b	u	g	e	h	t	t	3	f	g
29	42.08	1.04	5.0	500	10000	b	u	g	w	v	t	t	6	t	g
30	29.25	14.79	5.04	168	0	b	u	g	aa	v	t	t	5	t	g
31	42.0	9.79	7.96	0	0	b	u	g	x	h	t	t	8	f	g
32	49.5	7.585	7.585	0	5000	b	u	g	i	bb	t	t	15	t	g
33	36.75	5.125	5.0	0	4000	a	u	g	e	v	t	f	0	t	g
34	22.58	10.75	0.415	0	560	a	u	g	q	v	t	t	5	t	g
35	27.83	1.5	2.0	434	35	b	u	g	w	v	t	t	11	t	g
36	27.25	1.585	1.835	583	713	b	u	g	cc	h	t	t	12	t	g
37	23.0	11.75	0.5	300	551	a	u	g	x	h	t	t	2	t	g
38	27.75	0.585	0.25	260	500	b	y	p	cc	v	t	t	2	f	g
39	54.58	9.415	14.415	30	300	b	u	g	ff	ff	t	t	11	t	g
40	34.17	9.17	4.5	0	221	b	u	g	c	v	t	t	12	t	g
41	28.92	15.0	5.335	0	2283	b	u	g	c	h	t	t	11	f	g
42	29.67	1.415	0.75	240	100	b	u	g	w	h	t	t	1	f	g
43	39.58	13.915	8.625	70	0	b	u	g	w	v	t	t	6	t	g
44	56.42	28.0	28.5	0	15	b	y	p	c	v	t	t	40	f	g
45	54.33	6.75	2.625	0	284	b	u	g	c	h	t	t	11	t	g
46	41.0	2.04	0.125	455	1236	a	y	p	q	h	t	t	23	t	g
47	31.92	4.46	6.04	311	300	b	u	g	cc	h	t	t	3	f	g
48	41.5	1.54	3.5	216	0	b	u	g	i	bb	f	f	0	f	g
49	23.92	0.665	0.165	100	0	b	u	g	c	v	f	f	0	f	g
50	25.75	0.5	0.875	491	0	a	u	g	c	h	t	f	0	t	g
51	26.0	1.0	1.75	280	0	b	u	g	q	v	t	f	0	t	g
52	37.42	2.04	0.04	400	5800	b	u	g	w	v	t	f	0	t	g
53	34.92	2.5	0.0	239	200	b	u	g	w	v	t	f	0	t	g
54	34.25	3.0	7.415	0	0	b	u	g	cc	h	t	f	0	t	g
55	23.33	11.625	0.835	160	300	b	y	p	w	v	t	f	0	t	g
56	23.17	0.0	0.085	0	0	b	u	g	cc	v	t	f	0	f	g
57	44.33	0.5	5.0	320	0	b	u	g	i	h	t	f	0	t	g
58	35.17	4.5	5.75	711	0	b	u	g	x	h	f	f	0	t	s
59	43.25	3.0	6.0	80	0	b	u	g	q	h	t	t	11	f	g
60	56.75	12.25	1.25	200	0	b	u	g	m	v	t	t	4	t	g
61	31.67	16.165	3.0	250	730	b	u	g	d	v	t	t	9	f	g
62	23.42	0.79	1.5	80	400	a	y	p	q	v	t	t	2	t	g
63	20.42	0.835	1.585	0	0	a	u	g	q	v	t	t	1	f	g
64	26.67	4.25	4.29	120	0	b	u	g	cc	v	t	t	1	t	g
65	34.17	1.54	1.54	520	50000	b	u	g	cc	v	t	t	1	t	g
66	36.0	1.0	2.0	0	456	a	u	g	c	v	t	t	11	f	g
67	25.5	0.375	0.25	260	15108	b	u	g	m	v	t	t	3	f	g
68	19.42	6.5	1.46	80	2954	b	u	g	w	h	t	t	7	f	g
69	35.17	25.125	1.625	515	500	b	u	g	x	h	t	t	1	t	g
70	32.33	7.5	1.585	420	0	b	u	g	e	bb	t	f	0	t	s
71	38.58	5.0	13.5	980	0	a	u	g	cc	v	t	f	0	t	g
72	44.25	0.5	10.75	400	0	b	u	g	m	v	t	f	0	f	s
73	44.83	7.0	1.625	160	2	b	y	p	c	v	f	f	0	f	g
