ID	a2	a3	a8	a14	a15	a1	a4	a5	a6	a7	a9	a10	a11	a12	a13	main-class	main-class-proba	class-1-proba	class-2-proba	class-3-proba	class-4-proba	class-5-proba	class-6-proba	class-7-proba	class-8-proba	class-9-proba
0	30.83	0.0	1.25	202	0	b	u	g	w	v	t	t	1	f	g	2	0.854	0.146	0.854	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	58.67	4.46	3.04	43	560	a	u	g	q	h	t	t	6	f	g	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0	0.0
2	24.5	0.5	1.5	280	824	a	u	g	q	h	t	f	0	f	g	3	0.999	0.0	0.0	0.999	0.0	0.0	0.001	0.0	0.0	0.0
3	27.83	1.54	3.75	100	3	b	u	g	w	v	t	t	5	t	g	2	0.963	0.0	0.963	0.0	0.0	0.0	0.037	0.0	0.0	0.0
4	20.17	5.625	1.71	120	0	b	u	g	w	v	t	f	0	f	s	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	32.08	4.0	2.5	360	0	b	u	g	m	v	t	f	0	t	g	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	33.17	1.04	6.5	164	31285	b	u	g	r	h	t	f	0	t	g	6	0.864	0.0	0.0	0.136	0.0	0.0	0.864	0.0	0.0	0.0
7	22.92	11.585	0.04	80	1349	a	u	g	cc	v	t	f	0	f	g	3	0.999	0.0	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
8	54.42	0.5	3.96	180	314	b	y	p	k	h	t	f	0	f	g	3	0.999	0.0	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
9	42.5	4.915	3.165	52	1442	b	y	p	w	v	t	f	0	t	g	3	0.999	0.0	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
10	22.08	0.83	2.165	128	0	b	u	g	c	h	f	f	0	t	g	1	0.996	0.996	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0
11	29.92	1.835	4.335	260	200	b	u	g	c	h	t	f	0	f	g	3	0.911	0.0	0.0	0.911	0.0	0.0	0.089	0.0	0.0	0.0
12	38.25	6.0	1.0	0	0	a	u	g	k	v	t	f	0	t	g	8	0.999	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.999	0.0
13	48.08	6.04	0.04	0	2690	b	u	g	k	v	f	f	0	f	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
14	45.83	10.5	5.0	0	0	a	u	g	q	v	t	t	7	t	g	8	0.889	0.0	0.0	0.0	0.111	0.0	0.0	0.0	0.889	0.0
15	36.67	4.415	0.25	320	0	b	y	p	k	v	t	t	10	t	g	9	0.997	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.997
16	28.25	0.875	0.96	396	0	b	u	g	m	v	t	t	3	t	g	1	0.881	0.881	0.119	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	23.25	5.875	3.17	120	245	a	u	g	q	v	t	t	10	f	g	2	0.998	0.0	0.998	0.0	0.0	0.0	0.002	0.0	0.0	0.0
18	21.83	0.25	0.665	0	0	b	u	g	d	h	t	f	0	t	g	8	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
19	19.17	8.585	0.75	96	0	a	u	g	cc	h	t	t	7	f	g	2	0.996	0.002	0.996	0.0	0.0	0.0	0.002	0.0	0.0	0.0
20	25.0	11.25	2.5	200	1208	b	u	g	c	v	t	t	17	f	g	2	0.996	0.0	0.996	0.0	0.0	0.0	0.004	0.0	0.0	0.0
21	23.25	1.0	0.835	300	0	b	u	g	c	v	t	f	0	f	s	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	47.75	8.0	7.875	0	1260	a	u	g	c	v	t	t	6	t	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
23	27.42	14.5	3.085	120	11	a	u	g	x	h	t	t	1	f	g	2	0.933	0.0	0.933	0.0	0.0	0.0	0.067	0.0	0.0	0.0
24	41.17	6.5	0.5	145	0	a	u	g	q	v	t	t	3	t	g	1	0.753	0.753	0.246	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	15.83	0.585	1.5	100	0	a	u	g	c	h	t	t	2	f	g	2	0.934	0.066	0.934	0.0	0.0	0.0	0.0	0.0	0.0	0.0
