ID	a1	a4	a5	a6	a7	a9	a10	a11	a12	a13
0	b	u	g	w	v	t	t	1	f	g
1	a	u	g	q	h	t	t	6	f	g
2	a	u	g	q	h	t	f	0	f	g
3	b	u	g	w	v	t	t	5	t	g
4	b	u	g	w	v	t	f	0	f	s
5	b	u	g	m	v	t	f	0	t	g
6	b	u	g	r	h	t	f	0	t	g
7	a	u	g	cc	v	t	f	0	f	g
8	b	y	p	k	h	t	f	0	f	g
9	b	y	p	w	v	t	f	0	t	g
10	b	u	g	c	h	f	f	0	t	g
11	b	u	g	c	h	t	f	0	f	g
12	a	u	g	k	v	t	f	0	t	g
13	b	u	g	k	v	f	f	0	f	g
14	a	u	g	q	v	t	t	7	t	g
15	b	y	p	k	v	t	t	10	t	g
16	b	u	g	m	v	t	t	3	t	g
17	a	u	g	q	v	t	t	10	f	g
18	b	u	g	d	h	t	f	0	t	g
19	a	u	g	cc	h	t	t	7	f	g
20	b	u	g	c	v	t	t	17	f	g
21	b	u	g	c	v	t	f	0	f	s
22	a	u	g	c	v	t	t	6	t	g
23	a	u	g	x	h	t	t	1	f	g
24	a	u	g	q	v	t	t	3	t	g
25	a	u	g	c	h	t	t	2	f	g
26	a	u	g	i	bb	t	t	9	t	g
27	b	u	g	d	bb	t	t	17	t	g
28	b	u	g	e	h	t	t	3	f	g
29	b	u	g	w	v	t	t	6	t	g
30	b	u	g	aa	v	t	t	5	t	g
31	b	u	g	x	h	t	t	8	f	g
32	b	u	g	i	bb	t	t	15	t	g
33	a	u	g	e	v	t	f	0	t	g
34	a	u	g	q	v	t	t	5	t	g
35	b	u	g	w	v	t	t	11	t	g
36	b	u	g	cc	h	t	t	12	t	g
37	a	u	g	x	h	t	t	2	t	g
38	b	y	p	cc	v	t	t	2	f	g
39	b	u	g	ff	ff	t	t	11	t	g
40	b	u	g	c	v	t	t	12	t	g
41	b	u	g	c	h	t	t	11	f	g
42	b	u	g	w	h	t	t	1	f	g
