ID	a2	a3	a8	a14	a15
0	30.83	0.0	1.25	202	0
1	58.67	4.46	3.04	43	560
2	24.5	0.5	1.5	280	824
3	27.83	1.54	3.75	100	3
4	20.17	5.625	1.71	120	0
5	32.08	4.0	2.5	360	0
6	33.17	1.04	6.5	164	31285
7	22.92	11.585	0.04	80	1349
8	54.42	0.5	3.96	180	314
9	42.5	4.915	3.165	52	1442
10	22.08	0.83	2.165	128	0
11	29.92	1.835	4.335	260	200
12	38.25	6.0	1.0	0	0
13	48.08	6.04	0.04	0	2690
14	45.83	10.5	5.0	0	0
15	36.67	4.415	0.25	320	0
16	28.25	0.875	0.96	396	0
17	23.25	5.875	3.17	120	245
18	21.83	0.25	0.665	0	0
19	19.17	8.585	0.75	96	0
20	25.0	11.25	2.5	200	1208
21	23.25	1.0	0.835	300	0
22	47.75	8.0	7.875	0	1260
23	27.42	14.5	3.085	120	11
24	41.17	6.5	0.5	145	0
25	15.83	0.585	1.5	100	0
26	47.0	13.0	5.165	0	0
27	56.58	18.5	15.0	0	0
28	57.42	8.5	7.0	0	0
29	42.08	1.04	5.0	500	10000
30	29.25	14.79	5.04	168	0
31	42.0	9.79	7.96	0	0
32	49.5	7.585	7.585	0	5000
33	36.75	5.125	5.0	0	4000
34	22.58	10.75	0.415	0	560
35	27.83	1.5	2.0	434	35
36	27.25	1.585	1.835	583	713
37	23.0	11.75	0.5	300	551
38	27.75	0.585	0.25	260	500
39	54.58	9.415	14.415	30	300
40	34.17	9.17	4.5	0	221
41	28.92	15.0	5.335	0	2283
42	29.67	1.415	0.75	240	100
43	39.58	13.915	8.625	70	0
44	56.42	28.0	28.5	0	15
45	54.33	6.75	2.625	0	284
46	41.0	2.04	0.125	455	1236
47	31.92	4.46	6.04	311	300
48	41.5	1.54	3.5	216	0
49	23.92	0.665	0.165	100	0
50	25.75	0.5	0.875	491	0
51	26.0	1.0	1.75	280	0
52	37.42	2.04	0.04	400	5800
53	34.92	2.5	0.0	239	200
54	34.25	3.0	7.415	0	0
55	23.33	11.625	0.835	160	300
56	23.17	0.0	0.085	0	0
57	44.33	0.5	5.0	320	0
58	35.17	4.5	5.75	711	0
59	43.25	3.0	6.0	80	0
60	56.75	12.25	1.25	200	0
61	31.67	16.165	3.0	250	730
62	23.42	0.79	1.5	80	400
