class	stat	age	trestbps	chol	thalach	oldpeak
1	count	18.0	18.0	18.0	18.0	18.0
1	mean	60.333333333333336	123.27777777777777	274.8333333333333	136.27777777777777	3.0555555555555554
1	std	2.9704426289300234	8.988918377356155	33.16491767976942	6.710882781901217	0.3129033344853106
2	count	15.0	15.0	15.0	15.0	15.0
2	mean	48.8	135.6	254.8	158.6	0.0
2	std	2.484236013632474	3.312314684843306	14.934141134614052	4.222389303293991	0.0
3	count	14.0	14.0	14.0	14.0	14.0
3	mean	43.785714285714285	121.92857142857143	215.5	168.21428571428572	0.0
3	std	4.42333969596888	3.8323378226368807	11.312008595361764	2.8603004529801903	0.0
4	count	14.0	14.0	14.0	14.0	14.0
4	mean	58.57142857142857	130.85714285714286	214.57142857142858	164.28571428571428	0.0
4	std	2.5027457449242174	5.855400437691199	6.710660700181985	2.054210364052381	0.0
5	count	14.0	14.0	14.0	14.0	14.0
5	mean	57.0	183.14285714285714	303.42857142857144	132.5	3.742857142857143
5	std	1.839732422015599	11.680734584757944	24.89273692562454	11.09227035094536	0.36313651960128157
6	count	13.0	13.0	13.0	13.0	13.0
6	mean	49.76923076923077	130.46153846153845	244.92307692307693	174.3846153846154	0.0
6	std	2.681847813040052	4.976869575268249	12.945150562157362	3.8630398552276026	0.0
7	count	12.0	12.0	12.0	12.0	12.0
7	mean	41.75	128.5	307.5	169.25	0.0
7	std	2.2613350843332265	7.58587203592669	9.64365076099296	8.335302797575666	0.0
8	count	11.0	11.0	11.0	11.0	11.0
8	mean	54.81818181818182	124.18181818181819	260.72727272727275	143.72727272727272	0.36363636363636365
8	std	1.778661396566633	4.142901925418507	2.493628243780904	2.7236339361562205	0.05045249791095131
9	count	11.0	11.0	11.0	11.0	11.0
9	mean	60.72727272727273	142.72727272727272	274.3636363636364	162.8181818181818	2.4545454545454546
9	std	1.0090499582190264	4.670993664969139	15.344528192634188	5.82783290457408	1.0773705364113466
10	count	11.0	11.0	11.0	11.0	11.0
10	mean	62.0	125.81818181818181	217.0909090909091	130.63636363636363	2.4181818181818184
10	std	4.049691346263316	4.686537780028702	10.309748255457508	1.361816968078104	0.16624188291872669
11	count	11.0	11.0	11.0	11.0	11.0
