ID	a1	a2	a3	a4	a5
0	113	28	male	a	a
1	101	28	male	b	b
2	110	69	male	c	a
3	121	57	male	d	a
4	82	18	male	e	c
5	85	28	male	e	c
6	98	43	male	f	c
7	92	33	male	e	c
8	90	18	male	b	b
9	88	28	male	e	c
10	84	18	male	e	c
11	114	18	male	g	a
12	70	57	male	e	c
13	109	40	male	c	a
14	83	43	male	e	c
15	108	69	male	e	c
16	95	43	male	a	a
17	90	28	male	e	c
18	107	28	male	c	a
19	86	18	male	b	b
20	70	43	male	f	c
21	117	42	male	c	a
22	112	43	male	c	a
23	106	42	male	g	a
24	125	28	male	g	a
25	123	46	male	c	a
26	100	35	male	e	c
27	90	27	male	a	a
28	70	51	male	e	c
29	90	46	male	a	a
30	123	43	male	a	a
31	127	43	male	c	a
32	124	62	male	c	a
33	110	27	male	h	c
34	94	43	male	c	a
35	112	40	male	c	a
36	123	35	male	c	a
37	70	18	male	a	a
38	102	43	male	e	c
39	126	27	male	g	a
40	121	40	male	c	a
41	100	43	male	f	c
42	85	31	male	f	c
43	86	31	male	e	c
44	101	28	male	f	c
45	91	40	male	d	a
46	113	43	male	c	a
47	103	33	male	e	c
48	117	18	male	i	a
49	72	43	male	f	c
50	70	18	male	b	b
51	112	18	male	a	a
52	65	18	male	b	b
53	97	35	male	d	a
54	100	43	male	e	c
55	99	18	male	e	c
56	91	28	male	f	c
57	94	43	male	f	c
58	104	36	male	d	a
59	104	43	male	d	a
60	123	35	female	i	a
61	103	43	female	d	a
62	109	43	female	e	c
63	99	61	female	d	a
64	100	47	female	g	a
65	100	62	female	d	a
66	107	40	female	c	a
67	70	18	female	b	b
68	91	30	female	d	a
69	117	43	female	c	a
70	115	57	female	c	a
71	93	43	female	d	a
72	103	30	female	c	a
73	99	57	female	d	a
74	115	36	female	a	a
75	104	38	female	c	a
76	116	47	female	d	a
77	94	51	female	a	a
78	114	43	female	g	a
79	113	18	female	d	a
80	119	57	female	c	a
81	114	48	female	c	a
82	108	27	female	c	a
83	97	46	female	a	a
84	83	28	female	b	b
85	103	43	female	d	a
86	104	64	female	d	a
87	97	18	female	d	a
88	109	69	female	d	a
89	90	33	female	d	a
90	114	28	female	e	c
91	99	38	female	d	a
92	94	35	female	c	a
93	86	28	female	d	a
94	93	35	female	c	a
95	91	28	female	e	c
96	109	40	female	i	a
97	91	28	female	d	a
98	106	28	female	e	c
99	109	43	female	c	a
100	111	51	female	d	a
101	86	40	female	e	c
102	107	18	female	a	a
103	103	28	female	b	b
104	100	18	female	a	a
105	101	38	female	d	a
106	97	36	female	f	c
107	105	46	female	e	c
108	98	37	female	f	c
109	111	18	female	d	a
110	88	57	female	a	a
111	123	28	female	d	a
112	98	33	female	d	a
113	94	43	female	e	c
114	109	28	female	d	a
115	70	18	female	b	b
116	75	33	female	f	c
117	72	18	female	c	a
118	70	18	female	f	c
119	70	18	female	b	b
120	70	18	female	b	b
121	70	18	female	b	b
122	85	18	female	b	b
123	108	28	female	e	c
124	75	28	female	f	c
125	103	38	female	d	a
126	122	38	female	g	a
127	110	40	female	c	a
128	107	40	male	c	a
129	104	75	male	g	a
130	70	58	male	d	a
131	103	43	male	b	b
132	95	43	male	c	a
133	126	61	male	f	c
134	118	71	male	c	a
135	115	27	male	c	a
136	89	43	male	f	c
137	113	61	male	g	a
138	85	37	male	c	a
139	95	43	male	c	a
140	109	57	male	g	a
141	111	69	male	c	a
142	116	75	male	c	a
143	90	43	male	h	c
144	90	28	male	f	c
145	82	31	male	b	b
146	117	28	male	h	c
147	71	40	male	h	c
