ID	a1	a2	a3	a4	a5	main-class	main-class-proba	class-1-proba	class-2-proba	class-3-proba	class-4-proba	class-5-proba	class-6-proba	class-7-proba	class-8-proba
0	113	28	male	a	a	7	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
1	101	28	male	b	b	8	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999
2	110	69	male	c	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
3	121	57	male	d	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
4	82	18	male	e	c	5	0.992	0.008	0.0	0.0	0.0	0.992	0.0	0.0	0.0
5	85	28	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	98	43	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	92	33	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	90	18	male	b	b	5	0.976	0.0	0.0	0.0	0.0	0.976	0.0	0.0	0.024
9	88	28	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	84	18	male	e	c	5	0.991	0.009	0.0	0.0	0.0	0.991	0.0	0.0	0.0
11	114	18	male	g	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
12	70	57	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	109	40	male	c	a	3	0.958	0.0	0.0	0.958	0.042	0.0	0.0	0.0	0.0
14	83	43	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	108	69	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	95	43	male	a	a	3	0.99	0.0	0.004	0.99	0.006	0.0	0.0	0.0	0.0
17	90	28	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	107	28	male	c	a	7	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
19	86	18	male	b	b	5	0.975	0.0	0.0	0.0	0.0	0.975	0.0	0.0	0.025
20	70	43	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	117	42	male	c	a	3	0.995	0.0	0.001	0.995	0.003	0.0	0.0	0.0	0.0
22	112	43	male	c	a	3	0.995	0.0	0.003	0.995	0.001	0.0	0.0	0.0	0.0
23	106	42	male	g	a	3	0.999	0.0	0.001	0.999	0.0	0.0	0.0	0.0	0.0
24	125	28	male	g	a	7	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
25	123	46	male	c	a	3	0.92	0.0	0.08	0.92	0.0	0.0	0.0	0.0	0.0
26	100	35	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	90	27	male	a	a	7	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
28	70	51	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	90	46	male	a	a	3	0.901	0.0	0.098	0.901	0.0	0.0	0.0	0.0	0.0
30	123	43	male	a	a	3	0.996	0.0	0.003	0.996	0.0	0.0	0.0	0.0	0.0
31	127	43	male	c	a	3	0.994	0.0	0.005	0.994	0.0	0.0	0.0	0.0	0.0
32	124	62	male	c	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
33	110	27	male	h	c	1	0.998	0.998	0.0	0.0	0.0	0.0	0.0	0.002	0.0
34	94	43	male	c	a	3	0.985	0.0	0.005	0.985	0.01	0.0	0.0	0.0	0.0
35	112	40	male	c	a	3	0.966	0.0	0.0	0.966	0.034	0.0	0.0	0.0	0.0
36	123	35	male	c	a	3	0.846	0.0	0.0	0.846	0.154	0.0	0.0	0.0	0.0
37	70	18	male	a	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
38	102	43	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	126	27	male	g	a	7	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
40	121	40	male	c	a	3	0.98	0.0	0.0	0.98	0.02	0.0	0.0	0.0	0.0
41	100	43	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	85	31	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	86	31	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	101	28	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	91	40	male	d	a	4	0.579	0.0	0.0	0.421	0.579	0.0	0.0	0.0	0.0
46	113	43	male	c	a	3	0.995	0.0	0.003	0.995	0.001	0.0	0.0	0.0	0.0
47	103	33	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	117	18	male	i	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
49	72	43	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50	70	18	male	b	b	5	0.973	0.0	0.0	0.0	0.0	0.973	0.0	0.0	0.027
51	112	18	male	a	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
52	65	18	male	b	b	5	0.972	0.0	0.0	0.0	0.0	0.972	0.0	0.0	0.028
53	97	35	male	d	a	4	0.847	0.0	0.0	0.153	0.847	0.0	0.0	0.0	0.0
54	100	43	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55	99	18	male	e	c	5	0.984	0.015	0.0	0.0	0.0	0.984	0.0	0.0	0.0
56	91	28	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	94	43	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
