ID	a3	a4	a5
0	male	a	a
1	male	b	b
2	male	c	a
3	male	d	a
4	male	e	c
5	male	e	c
6	male	f	c
7	male	e	c
8	male	b	b
9	male	e	c
10	male	e	c
11	male	g	a
12	male	e	c
13	male	c	a
14	male	e	c
15	male	e	c
16	male	a	a
17	male	e	c
18	male	c	a
19	male	b	b
20	male	f	c
21	male	c	a
22	male	c	a
23	male	g	a
24	male	g	a
25	male	c	a
26	male	e	c
27	male	a	a
28	male	e	c
29	male	a	a
30	male	a	a
31	male	c	a
32	male	c	a
33	male	h	c
34	male	c	a
35	male	c	a
36	male	c	a
37	male	a	a
38	male	e	c
39	male	g	a
40	male	c	a
41	male	f	c
42	male	f	c
43	male	e	c
44	male	f	c
45	male	d	a
46	male	c	a
47	male	e	c
48	male	i	a
49	male	f	c
50	male	b	b
51	male	a	a
52	male	b	b
53	male	d	a
54	male	e	c
55	male	e	c
56	male	f	c
57	male	f	c
58	male	d	a
59	male	d	a
60	female	i	a
61	female	d	a
62	female	e	c
63	female	d	a
64	female	g	a
65	female	d	a
66	female	c	a
67	female	b	b
68	female	d	a
69	female	c	a
70	female	c	a
71	female	d	a
72	female	c	a
73	female	d	a
74	female	a	a
75	female	c	a
76	female	d	a
77	female	a	a
78	female	g	a
79	female	d	a
80	female	c	a
81	female	c	a
82	female	c	a
83	female	a	a
84	female	b	b
85	female	d	a
86	female	d	a
87	female	d	a
88	female	d	a
89	female	d	a
90	female	e	c
91	female	d	a
92	female	c	a
93	female	d	a
94	female	c	a
95	female	e	c
96	female	i	a
97	female	d	a
98	female	e	c
99	female	c	a
100	female	d	a
101	female	e	c
102	female	a	a
103	female	b	b
104	female	a	a
105	female	d	a
106	female	f	c
107	female	e	c
108	female	f	c
109	female	d	a
110	female	a	a
111	female	d	a
112	female	d	a
113	female	e	c
114	female	d	a
115	female	b	b
116	female	f	c
117	female	c	a
118	female	f	c
119	female	b	b
120	female	b	b
121	female	b	b
122	female	b	b
123	female	e	c
124	female	f	c
125	female	d	a
126	female	g	a
127	female	c	a
128	male	c	a
129	male	g	a
130	male	d	a
131	male	b	b
132	male	c	a
133	male	f	c
134	male	c	a
135	male	c	a
136	male	f	c
137	male	g	a
138	male	c	a
139	male	c	a
140	male	g	a
141	male	c	a
142	male	c	a
143	male	h	c
144	male	f	c
145	male	b	b
146	male	h	c
147	male	h	c
148	male	j	a
149	male	f	c
150	male	e	c
151	male	e	c
152	male	c	a
153	male	f	c
154	male	g	a
155	male	c	a
156	male	b	b
157	male	d	a
158	male	b	b
159	male	g	a
160	male	g	a
161	male	c	a
162	male	c	a
163	male	i	a
164	male	c	c
165	male	c	c
166	male	a	a
167	female	d	a
168	female	c	c
169	female	f	c
170	female	g	a
171	female	c	c
172	female	c	a
173	female	c	a
174	female	c	c
175	female	c	a
176	female	e	c
177	female	d	a
178	female	c	a
179	female	g	a
180	female	c	a
181	female	d	a
182	female	e	c
183	female	c	a
184	female	d	a
185	female	c	a
186	female	a	a
187	female	c	a
188	female	d	a
189	female	g	a
190	female	c	a
191	female	c	a
192	female	c	a
193	female	f	c
194	female	c	a
195	female	g	a
196	female	b	b
197	female	e	c
198	female	c	a
199	female	g	a
200	female	f	c
201	female	f	c
202	female	b	b
203	female	f	c
204	female	c	a
205	female	f	c
206	male	c	a
207	male	d	a
208	male	c	a
209	male	c	a
210	male	f	c
211	male	d	a
212	male	c	a
213	male	c	a
214	male	c	a
215	male	c	a
216	male	a	a
217	male	g	a
218	male	d	a
219	male	g	a
220	male	a	a
221	male	a	a
222	male	c	a
223	male	c	a
224	male	c	a
225	male	e	c
226	male	b	b
227	male	c	a
228	male	e	c
229	male	a	a
230	male	c	a
